text,label
Can't believe u said that. Idiot!,offensive
bro Aayana laanti vaallu problem. 😡 😤,hate_speech
"Avanga ellarum same thaan, useless. 👎",hate_speech
lol Doston ke saath masti kar raha hu!  #funny,neutral
Nee romba irritating da 🤬 👎,offensive
omg Doston ke saath masti kar raha hu!,neutral
Loosu madhiri pesatha! 🙄,offensive
Tor matha thik ache?,offensive
Faltu ma na bol ne! 🔥,offensive
idk Cricket match mast tha!,neutral
Avarude samuham mosham aanallo.,hate_speech
idk Ki faltu gatha korchis re! 😤,offensive
Inko coffee tho chill 😎,neutral
Avide karikal onnum venda.,hate_speech
Nee onnum ariyilla alle 😑,offensive
bro Aayana laanti vaallu problem. 😡,hate_speech
Cricket match mast tha! 🔥,neutral
sis Oder community er kono jayga nei ekhane.,hate_speech
wtf Vallaki place ledu ikkada.  #life,hate_speech
omg Innu college nannayirunnu 😄  #toxic,neutral
lmao Ninna movie chala bagundhi.  #toxic,neutral
omg Inka hona hi problem hai.,hate_speech
Faltu ma na bol ne! 😤,offensive
wtf Ninna movie chala bagundhi.,neutral
"lmao Avanga ellarum same thaan, useless. 👎 #funny",hate_speech
lmao Inka hona hi problem hai. 🔥,hate_speech
bruh Cricket match mast tha! 😂,neutral
bruh You're such a loser 😤 😡,offensive
Friends tho hangout super ga undhi. 👎 #life,neutral
Iniki lunch biriyani! 😋  #funny,neutral
wtf Facebook e ekta nice post dekhlam. 😭,neutral
Tu kitna pagal hai bro 😒 🙄 #savage,offensive
Tor matha thik ache?  #lol,offensive
Oder dekhe ekhane ashte ichhe kore na.,hate_speech
idk Nee brain unda? 😎,offensive
bro Tari vaat samdi ne hasi avi gayi 🤣 🙄 #savage,offensive
idk Oru vattam koodi kandupidikkanam ivide. 😠 👍,hate_speech
This community should be banned!,hate_speech
That was dumb af bro 🙄,offensive
Loosu madhiri pesatha!,offensive
smh Eda thettu parayanam!,offensive
Bakwaas band kar idiot!  #mood,offensive
lol That was dumb af bro 🙄 👍,offensive
"Avanga ellarum same thaan, useless. 💯",hate_speech
Cafe il poyi chaya kudichu ☕ 😡 #fail,neutral
omg Un community ku inga edam illa.,hate_speech
Nee romba irritating da 🤬 😭,offensive
Tum jaise log desh ke liye threat ho.,hate_speech
Faltu ma na bol ne! 😎,offensive
Ki faltu gatha korchis re!  #life,offensive
Iniki lunch biriyani! 😋 😭 #lol,neutral
lol Inko coffee tho chill 😎 😡 #mood,neutral
Dost sathe garba karela 🎉,neutral
smh Oder dekhe ekhane ashte ichhe kore na. 👍,hate_speech
"sis Get out of here, nobody wants your kind. 😤 #mood",hate_speech
smh Faltu ma na bol ne!  #fail,offensive
Aaj mausam suhana hai 😍 🔥,neutral
