text,label
Can't believe u said that. Idiot!,2
bro Aayana laanti vaallu problem. 😡 😤,0
"Avanga ellarum same thaan, useless. 👎",0
lol Doston ke saath masti kar raha hu!  #funny,1
Nee romba irritating da 🤬 👎,2
omg Doston ke saath masti kar raha hu!,1
Loosu madhiri pesatha! 🙄,2
Tor matha thik ache?,2
Faltu ma na bol ne! 🔥,2
idk Cricket match mast tha!,1
Avarude samuham mosham aanallo.,0
idk Ki faltu gatha korchis re! 😤,2
Inko coffee tho chill 😎,1
Avide karikal onnum venda.,0
Nee onnum ariyilla alle 😑,2
bro Aayana laanti vaallu problem. 😡,0
Cricket match mast tha! 🔥,1
sis Oder community er kono jayga nei ekhane.,0
wtf Vallaki place ledu ikkada.  #life,0
omg Innu college nannayirunnu 😄  #toxic,1
lmao Ninna movie chala bagundhi.  #toxic,1
omg Inka hona hi problem hai.,0
Faltu ma na bol ne! 😤,2
wtf Ninna movie chala bagundhi.,1
"lmao Avanga ellarum same thaan, useless. 👎 #funny",0
lmao Inka hona hi problem hai. 🔥,0
bruh Cricket match mast tha! 😂,1
bruh You're such a loser 😤 😡,2
Friends tho hangout super ga undhi. 👎 #life,1
Iniki lunch biriyani! 😋  #funny,1
wtf Facebook e ekta nice post dekhlam. 😭,1
Tu kitna pagal hai bro 😒 🙄 #savage,2
Tor matha thik ache?  #lol,2
Oder dekhe ekhane ashte ichhe kore na.,0
idk Nee brain unda? 😎,2
bro Tari vaat samdi ne hasi avi gayi 🤣 🙄 #savage,2
idk Oru vattam koodi kandupidikkanam ivide. 😠 👍,0
This community should be banned!,0
That was dumb af bro 🙄,2
Loosu madhiri pesatha!,2
smh Eda thettu parayanam!,2
Bakwaas band kar idiot!  #mood,2
lol That was dumb af bro 🙄 👍,2
"Avanga ellarum same thaan, useless. 💯",0
Cafe il poyi chaya kudichu ☕ 😡 #fail,1
omg Un community ku inga edam illa.,0
Nee romba irritating da 🤬 😭,2
Tum jaise log desh ke liye threat ho.,0
Faltu ma na bol ne! 😎,2
Ki faltu gatha korchis re!  #life,2
Iniki lunch biriyani! 😋 😭 #lol,1
lol Inko coffee tho chill 😎 😡 #mood,1
Dost sathe garba karela 🎉,1
smh Oder dekhe ekhane ashte ichhe kore na. 👍,0
"sis Get out of here, nobody wants your kind. 😤 #mood",0
smh Faltu ma na bol ne!  #fail,2
Aaj mausam suhana hai 😍 🔥,1
Nalla rasam undayirunnu. 😡,1
bruh Oder dekhe ekhane ashte ichhe kore na. 😤,0
bruh Oder community er kono jayga nei ekhane.,0
wtf Nee onnum ariyilla alle 😑,2
Vallaki place ledu ikkada.,0
Faltu ma na bol ne!,2
bruh People like you are the worst. Disgusting. 😡 #savage,0
wtf Nalla rasam undayirunnu. 🙄 #savage,1
Oru vattam koodi kandupidikkanam ivide. 😠 💯,0
Chilling with friends #goodvibes 😂,1
sis Innu college nannayirunnu 😄,1
Tane kai samajh pade che? 😤,2
"smh Avanga ellarum same thaan, useless. 🔥",0
Iniki lunch biriyani! 😋 🙄,1
Cinemata darun chhilo! 👍,1
Loosu madhiri pesatha! 😡 #lol,2
idk This community should be banned!  #mood,0
wtf Nethu movie super da 😍 😡,1
bro A community tho matladadam waste. 😂,0
bruh Kya faltu baatein kar raha hai 😑,2
Aaj mausam suhana hai 😍,1
Avarude samuham mosham aanallo.  #savage,0
idk Had a great day today 😊  #toxic,1
sis Tui akdom pagol naki?,2
idk Cinemata darun chhilo!,1
smh People like you are the worst. Disgusting.  #funny,0
Pichhodu la undev 😠,2
Apni community leke chale jao yahan se. 😭,0
wtf Avarude samuham mosham aanallo. 🔥,0
bruh Facebook e ekta nice post dekhlam. 👎,1
This community should be banned!,0
lmao A loko to desh ma j nahi joie. 👍,0
Inko coffee tho chill 😎 👎,1
Class la nalla fun pannom. 😤,1
"Get out of here, nobody wants your kind. 😡 #life",0
lmao Majja avi gayi yaar 😍,1
Edo matladtunnadu pakkalo 😒 😭,2
People like you are the worst. Disgusting. 🔥 #funny,0
sis Pichhodu la undev 😠  #funny,2
